ano, personas con velocidad de internet entre 10 y 100 Mbps en diciembre de ese ano,personas con velocidad de internet entre 100 Mbps y 1Gbps,total de conexiones fijas,Poblacion total en Chile
2014,786307,1018,2501356,17687108
2015,1119518,4378,2729251,17870124
2016,1554103,50302,2912133,18083879
2017,1297037,811945,3068528,18368577
2018,1479422,983849,3256097,18701450
2019,1448431,1329681,3434767,19039485
2020,879182,2416181,3802033,19300315
2021,468723,3485674,4287491,19493184
2022,247449,4097299,4460212,19603733
2023,159480,4291970,4524579,19629590